Tu0:alt	Tu0:ref	Tu1:alt	Tu1:ref	Tu2:alt	Tu2:ref	Tu3:alt	Tu3:ref	Tu4:alt	Tu4:ref	Tu5:alt	Tu5:ref
0	84	0	100	26	66	0	104	0	92	0	90
0	100	0	77	29	60	0	94	0	92	0	81
0	120	0	105	16	76	0	101	0	101	0	106
0	109	0	94	25	72	0	98	0	94	0	101
0	101	0	108	17	90	0	87	0	107	0	84
0	95	0	88	19	80	0	100	0	90	0	107
0	85	0	94	28	75	0	96	0	90	0	98
0	96	0	96	20	75	0	117	0	80	0	114
0	105	0	122	26	82	0	100	0	119	0	77
0	100	0	102	22	82	0	111	0	89	0	86
0	111	0	101	16	99	0	107	0	111	0	83
0	104	0	105	0	98	40	40	16	81	14	94
0	80	0	118	0	91	52	50	19	98	16	92
0	94	0	93	0	109	63	54	9	85	12	89
0	82	0	81	0	106	48	63	16	65	12	97
0	79	0	104	0	88	49	68	13	86	10	108
0	102	0	100	0	102	43	60	12	78	8	86
0	99	0	95	0	97	51	52	18	81	13	91
0	96	0	99	0	102	50	36	19	69	6	95
0	94	0	106	0	92	36	54	16	75	13	75
0	101	0	106	0	99	56	40	17	83	8	84
0	92	0	91	0	108	46	56	13	75	16	88
0	97	0	98	0	106	0	79	0	96	10	88
0	108	0	111	0	88	0	101	0	99	16	89
0	91	0	98	0	69	0	92	0	97	15	87
0	95	0	98	0	92	0	108	0	73	9	90
0	107	0	95	0	79	0	90	0	115	17	81
0	97	0	94	0	100	0	111	0	86	11	82
0	103	0	96	0	91	0	97	0	99	10	81
0	108	0	111	0	103	0	103	0	113	13	87
0	89	0	104	0	101	0	95	0	106	11	94
0	103	0	108	0	91	0	101	0	78	12	90
0	102	0	119	0	89	0	89	0	98	12	92
0	89	0	90	0	85	0	93	0	92	16	94
0	100	0	96	0	90	0	98	0	104	15	90
0	108	0	108	0	98	0	87	0	107	19	86
0	99	0	94	0	89	0	86	0	96	12	79
0	105	0	103	0	96	0	112	0	97	12	100
0	99	0	100	0	88	0	97	0	114	12	96
0	111	0	88	0	98	0	95	0	108	8	70
0	90	0	107	0	87	0	110	0	81	14	105
0	111	0	99	0	90	0	99	0	110	11	108
0	99	0	99	0	122	0	103	0	107	8	87
0	84	0	110	0	90	0	72	0	78	16	91
0	102	0	92	0	99	0	103	0	107	10	102
0	98	0	104	0	97	0	113	0	107	10	94
0	103	0	107	0	104	0	106	0	108	9	83
0	92	0	108	0	91	0	97	0	88	13	87
0	86	0	96	0	102	0	105	0	106	10	81
0	108	0	98	23	76	0	117	0	86	0	84
0	105	0	105	17	71	0	91	0	96	0	124
0	107	0	103	16	81	0	91	0	91	0	118
0	98	0	98	24	82	0	103	0	91	0	100
0	107	0	117	30	68	0	87	0	93	0	88
0	103	0	98	16	78	0	110	0	116	0	87
24	71	13	72	0	100	0	88	0	99	0	92
26	86	12	86	0	89	0	117	0	95	0	108
37	87	20	77	18	82	38	40	11	75	14	98
25	77	27	92	27	60	39	39	10	86	15	98
25	69	21	109	21	57	52	42	9	80	11	81
22	79	12	70	13	71	38	43	9	71	15	87
33	98	20	94	28	93	51	51	21	85	12	93
25	63	15	84	19	76	42	53	12	87	17	82
23	72	15	81	15	76	42	64	13	74	5	87
38	66	12	75	29	62	46	51	18	85	11	106
36	68	13	79	25	85	49	49	14	70	16	90
27	57	19	74	21	53	47	55	16	109	13	77
29	71	22	95	22	74	45	59	6	93	10	88
31	63	16	86	25	84	44	62	13	90	13	89
25	68	16	85	18	73	43	53	14	75	6	94
27	71	19	59	25	84	34	46	13	93	10	94
26	70	13	91	20	82	42	50	15	97	19	83
25	65	13	77	26	78	39	59	14	95	7	91
30	64	13	92	19	80	49	65	17	84	14	87
25	67	18	67	21	67	45	42	9	88	18	88
28	75	11	94	18	76	45	53	19	94	7	93
23	64	27	91	26	82	51	43	19	73	18	84
32	71	20	75	25	84	50	50	17	109	9	110
30	83	10	75	21	61	54	47	12	88	9	89
33	72	18	82	24	80	51	46	25	95	15	103
32	67	16	93	25	67	44	49	9	87	10	110
33	73	16	89	21	68	53	57	23	82	13	75
27	73	18	73	29	72	47	48	9	81	15	90
23	52	12	107	22	71	39	63	17	87	12	101
34	71	24	87	24	68	49	60	15	91	6	81
19	75	10	58	18	83	52	46	14	72	12	88
37	69	20	87	21	74	41	49	13	79	8	83
29	75	15	77	28	76	52	55	19	85	16	96
21	83	12	98	0	97	0	92	0	92	0	78
16	84	11	85	0	110	0	99	0	98	0	80
17	80	15	89	0	100	0	106	0	109	0	88
0	103	0	102	0	101	44	57	0	92	0	109
0	93	0	86	0	95	53	56	0	111	0	105
0	94	0	113	0	78	49	49	0	109	0	107
0	105	0	110	0	80	44	46	0	109	0	103
0	117	0	98	0	100	45	54	0	85	0	94
0	117	0	86	0	91	0	89	9	100	0	91
0	94	0	87	0	101	0	110	8	76	0	105
0	93	0	94	0	113	0	96	5	94	0	104
0	105	0	111	0	99	0	103	8	97	0	98
