Tu0:alt	Tu0:ref	Tu1:alt	Tu1:ref	Tu2:alt	Tu2:ref	Tu3:alt	Tu3:ref	Tu4:alt	Tu4:ref	Tu5:alt	Tu5:ref
34	62	0	92	5	98	0	101	25	74	0	115
36	60	0	96	9	84	0	94	32	61	0	89
30	67	0	97	6	85	0	107	31	65	0	93
40	61	0	115	14	102	0	120	39	70	0	94
37	66	0	100	2	82	0	98	29	64	0	105
48	48	0	102	3	97	0	99	35	69	0	109
38	68	0	92	16	90	0	113	35	78	0	89
39	62	0	103	12	110	0	104	31	66	0	110
40	48	0	87	10	100	0	100	41	76	0	89
25	69	0	110	13	100	0	108	37	64	0	124
30	67	0	96	9	91	0	120	45	74	0	91
35	72	0	112	9	102	0	90	25	77	0	91
37	62	0	112	5	94	0	95	30	77	0	83
0	109	0	101	6	97	0	93	32	76	0	79
0	77	0	101	7	81	0	107	33	98	0	109
0	96	0	95	6	74	0	95	19	77	0	114
0	110	0	113	3	91	0	80	40	75	0	95
0	127	0	80	4	96	0	97	23	63	0	112
0	107	0	108	5	99	0	92	39	70	0	104
0	91	0	87	9	103	0	104	26	71	0	109
0	101	0	107	7	112	0	92	34	68	0	125
0	96	0	99	7	100	0	112	34	63	0	108
0	96	0	102	8	88	0	98	26	77	0	114
0	115	0	81	5	83	0	86	40	71	0	96
0	111	0	108	9	98	0	113	16	77	0	100
5	87	0	101	1	94	0	94	30	74	0	110
9	83	0	104	9	88	0	114	28	59	0	97
8	88	0	112	9	70	0	97	19	72	0	110
8	105	0	84	6	89	0	109	39	68	0	103
0	115	0	113	0	105	0	118	0	90	23	79
0	109	0	103	0	101	0	108	0	92	21	77
0	90	0	118	0	103	0	86	0	86	24	68
0	100	0	108	0	94	0	99	0	106	22	87
0	103	0	92	0	97	0	98	0	114	22	65
0	94	0	98	0	104	0	112	0	121	25	66
0	102	0	104	0	113	0	107	0	91	31	79
0	95	0	91	0	92	0	93	0	102	21	62
0	95	0	100	0	92	0	103	0	102	31	93
0	100	0	86	0	89	0	103	0	87	24	76
0	82	0	92	0	88	0	102	0	99	22	82
0	91	0	107	0	119	0	96	0	104	21	88
0	100	0	98	0	109	0	100	0	104	21	72
0	95	0	112	0	97	0	104	0	125	27	77
17	68	0	85	0	100	0	89	0	105	0	97
16	79	0	95	0	98	0	91	0	118	0	91
0	89	25	83	0	121	19	79	0	90	0	88
0	109	30	58	0	93	27	88	0	112	0	85
0	107	20	68	0	88	18	96	0	102	0	107
0	119	32	78	0	111	24	94	0	95	0	107
0	87	44	71	0	103	21	74	0	108	0	98
0	87	34	76	0	77	17	79	0	115	0	89
0	104	30	78	0	96	23	66	0	111	0	119
0	112	29	68	0	107	28	75	0	95	0	99
0	91	25	81	0	80	26	71	0	107	0	102
0	87	27	63	0	119	23	80	0	105	0	99
0	115	33	64	0	107	25	65	0	102	0	105
0	91	31	76	0	110	14	75	0	95	0	91
0	106	0	95	0	102	0	100	0	108	38	62
0	108	0	105	0	114	0	103	0	107	49	60
0	103	0	98	0	93	0	109	0	98	42	56
0	107	0	98	0	99	0	91	0	90	31	58
0	120	0	104	0	114	0	99	0	107	42	49
0	87	0	108	0	111	0	101	0	84	45	56
0	95	0	96	0	119	0	95	0	96	42	55
0	104	0	82	0	89	0	87	0	90	45	42
0	92	0	82	0	110	0	98	0	112	44	64
0	105	0	86	0	109	0	98	0	98	45	48
0	100	0	103	0	102	0	91	0	113	33	66
0	97	0	97	0	109	0	106	0	93	48	56
0	101	0	106	0	97	0	123	0	100	35	32
0	104	13	83	0	96	19	75	0	111	48	43
44	74	0	68	10	95	0	100	21	71	0	105
38	70	0	106	9	92	0	80	20	69	0	109
42	59	0	105	6	89	0	100	35	64	0	97
39	54	0	104	7	83	0	92	22	80	0	123
34	61	0	86	7	94	0	106	34	89	0	103
42	71	0	96	7	91	0	111	31	72	0	103
38	57	0	118	7	107	0	102	38	64	0	119
34	64	0	93	11	92	0	115	31	63	0	94
30	49	0	103	7	94	0	93	30	83	0	98
38	58	0	119	4	108	0	95	30	69	0	99
44	72	0	124	6	83	0	101	24	75	0	98
31	63	0	95	7	101	0	113	29	71	0	99
36	58	0	90	10	99	0	92	30	67	0	95
35	70	0	94	7	90	0	100	28	78	0	95
40	78	0	105	5	78	0	105	30	66	0	87
42	58	0	98	9	106	0	109	26	61	0	103
29	63	0	111	9	78	0	117	30	67	0	113
47	62	0	91	12	87	0	127	26	66	0	113
34	64	0	87	7	85	0	108	32	58	0	110
25	63	0	99	3	88	0	108	35	75	0	104
43	61	48	54	8	83	48	65	24	80	39	56
30	68	51	60	9	103	45	78	27	70	38	55
46	51	58	44	7	92	50	67	29	74	53	49
32	57	32	45	6	67	46	57	29	54	44	55
39	69	55	53	6	86	49	61	32	64	34	63
42	46	50	43	2	102	50	63	27	71	43	49
48	60	51	49	3	105	53	46	22	66	44	56
34	58	44	53	1	107	45	58	33	61	39	59
31	65	53	52	18	107	37	47	37	51	47	52
