PSec1:ref	PSec1:alt	PSec2:ref	PSec2:alt	M4:ref	M4:alt	M1:ref	M1:alt	M3:ref	M3:alt	M2:ref	M2:alt
88	95	83	92	99	94	94	96	103	107	107	110
198	0	226	0	220	0	194	0	186	0	159	36
175	16	220	0	205	0	217	0	152	29	207	0
186	20	192	0	196	0	191	0	157	40	211	0
198	0	179	0	123	102	111	125	188	0	155	58
218	0	140	66	187	0	199	0	195	0	199	0
196	0	202	0	214	0	204	0	185	0	176	32
168	0	208	0	198	0	182	0	207	0	169	46
188	0	203	0	191	0	221	0	166	36	218	0
198	0	193	0	177	0	212	0	149	28	226	0
184	0	213	0	105	104	90	113	188	0	144	47
220	0	213	0	189	0	210	0	152	35	200	0
185	0	207	0	193	0	210	0	139	62	202	0
205	0	200	0	219	0	181	0	124	59	195	0
174	0	196	0	142	40	206	0	171	0	131	77
200	0	226	0	151	52	110	90	186	0	183	0
187	0	202	0	142	48	187	0	208	0	197	0
179	0	180	0	203	0	218	0	197	0	134	64
177	0	216	0	219	0	176	0	218	0	150	72
184	0	209	0	150	51	198	0	195	0	200	0
185	0	183	0	191	0	178	0	155	26	188	0
188	0	173	0	155	0	219	0	206	0	137	61
203	0	202	0	185	0	213	0	142	59	203	0
203	0	204	0	202	0	217	0	136	56	203	0
204	0	176	0	126	52	195	0	189	0	191	0
221	0	208	0	208	0	195	0	213	0	136	41
225	0	176	0	159	49	213	0	206	0	199	0
208	0	211	0	192	0	194	0	211	0	179	31
186	0	202	0	152	45	211	0	208	0	196	0
188	0	195	0	200	0	172	0	209	0	160	55
200	0	225	0	159	47	209	0	198	0	206	0
209	0	208	0	197	0	206	0	195	0	178	41
218	0	227	0	183	0	199	0	137	54	182	0
204	0	216	0	174	0	237	0	205	0	130	51
200	0	195	0	170	0	180	0	128	56	193	0
192	0	196	0	118	71	210	0	190	0	213	0
209	0	201	0	161	44	185	0	179	0	194	0
245	0	181	0	193	0	191	0	169	35	201	0
192	0	202	0	153	59	181	0	190	0	185	0
198	0	168	0	134	57	212	0	183	0	196	0
206	0	203	0	200	0	194	0	138	61	215	0
200	0	205	0	160	52	189	0	197	0	226	0
183	0	191	0	208	0	206	0	181	40	206	0
192	0	196	0	179	46	182	0	193	0	188	0
208	0	222	0	145	63	205	0	222	0	198	0
205	0	220	0	181	44	205	0	206	0	199	0
197	0	180	0	194	0	192	0	178	19	190	0
222	0	183	0	179	0	203	0	176	20	186	0
198	0	243	0	181	18	211	0	199	0	218	0
175	0	224	0	197	9	222	0	188	0	196	0
207	0	215	0	198	22	207	0	224	0	203	0
