PSec1:ref	PSec1:alt	PSec2:ref	PSec2:alt	M5:ref	M5:alt	M4:ref	M4:alt	M1:ref	M1:alt	M3:ref	M3:alt	M2:ref	M2:alt
106	80	87	86	96	90	98	97	109	101	110	114	91	89
176	23	179	0	208	0	178	0	207	0	208	0	202	0
165	21	181	31	191	0	199	0	202	0	198	0	103	95
194	0	200	0	209	0	144	57	186	0	196	0	204	0
206	0	215	0	170	0	126	68	205	0	194	0	187	0
211	0	207	0	200	0	141	85	201	0	197	0	186	0
211	0	233	0	203	0	208	0	198	0	206	0	185	21
200	0	206	0	204	0	199	0	207	0	195	0	107	89
197	0	200	0	183	0	158	39	101	99	176	0	203	0
199	0	191	0	217	0	181	0	197	0	213	0	195	6
174	0	190	0	211	0	163	44	108	101	210	0	185	0
174	0	187	0	177	0	121	71	192	0	200	0	194	0
190	0	189	0	204	0	220	0	215	0	206	0	184	6
220	0	168	0	189	0	179	0	184	0	178	0	105	81
191	0	183	0	175	0	197	0	186	0	190	0	178	11
193	0	196	0	200	0	135	38	100	107	186	0	212	0
196	0	213	0	194	0	223	0	196	0	207	0	131	94
216	0	214	0	223	0	196	0	182	0	184	0	122	90
177	0	197	0	199	0	188	0	203	0	185	0	196	19
189	0	192	0	163	0	212	0	187	0	191	0	113	105
181	0	190	0	97	104	174	0	180	0	110	111	184	0
195	0	188	0	114	88	205	0	177	0	84	117	208	0
183	0	203	0	206	0	213	0	210	0	192	0	110	100
206	0	200	0	201	0	140	60	210	0	174	0	191	0
204	0	196	0	213	0	198	0	202	0	188	0	99	86
194	0	209	0	203	0	188	0	207	0	200	0	115	90
177	0	202	0	100	103	191	0	188	0	100	101	187	0
194	0	191	0	213	0	172	0	203	0	181	0	180	17
213	0	178	0	98	88	208	0	200	0	96	98	207	0
196	0	207	0	195	0	197	0	216	0	219	0	148	28
191	0	208	0	204	0	204	0	208	0	237	0	199	28
205	0	209	0	183	0	227	0	211	0	195	0	165	26
221	0	204	0	195	0	188	0	160	27	182	0	201	0
203	0	203	0	92	115	185	0	197	0	158	53	196	0
178	0	218	0	193	0	209	0	202	0	142	43	203	0
192	0	212	0	201	0	220	0	184	0	153	65	216	0
202	0	191	0	106	98	206	0	202	0	198	0	208	0
195	0	193	0	224	0	197	0	202	0	163	26	194	0
179	0	195	0	195	0	155	42	210	0	201	0	187	0
186	0	196	0	232	0	160	31	208	0	189	0	220	0
188	0	187	0	174	0	167	31	217	0	206	0	199	0
169	0	183	0	186	0	150	26	206	0	196	0	182	0
192	0	192	0	198	0	154	35	196	0	187	0	182	0
185	0	233	0	200	0	154	39	221	0	182	0	191	0
218	0	216	0	84	102	190	0	203	0	190	0	190	0
209	0	179	0	221	0	157	34	199	0	223	0	202	0
