PSec1:ref	PSec1:alt	PSec2:ref	PSec2:alt	M4:ref	M4:alt	M1:ref	M1:alt	M3:ref	M3:alt	M2:ref	M2:alt
121	110	99	98	105	94	101	100	107	86	95	90
94	112	100	108	98	102	114	92	98	98	107	102
91	89	91	93	95	91	129	86	88	82	104	78
177	59	199	0	95	90	191	0	216	0	179	0
172	13	96	114	184	0	110	104	89	100	106	108
211	0	164	0	89	107	212	0	204	0	209	0
169	16	82	91	194	0	140	75	204	0	204	15
224	0	217	0	131	107	212	0	197	0	200	0
154	32	199	0	218	0	190	0	194	0	183	0
209	0	212	0	208	0	168	25	94	85	120	98
186	0	206	0	100	104	224	0	215	0	210	0
186	37	185	0	203	0	182	0	189	0	189	0
194	0	203	0	203	0	172	19	99	105	132	85
173	26	204	0	182	0	196	0	199	0	219	0
211	0	182	0	111	96	210	0	196	0	180	0
198	12	104	112	210	0	127	76	198	0	177	19
197	0	206	0	178	0	183	27	92	108	132	86
179	11	86	94	201	0	124	72	198	0	169	28
227	0	205	0	110	86	179	0	203	0	199	0
202	0	224	0	98	104	206	0	197	0	205	0
183	0	193	0	211	0	144	28	199	0	204	0
200	0	176	0	220	0	172	13	219	0	213	0
189	0	190	0	107	95	208	0	204	0	235	0
155	28	226	0	202	0	180	0	218	0	173	0
212	0	210	0	207	0	218	0	104	104	129	89
168	27	206	0	229	0	210	0	184	0	185	0
202	8	98	101	215	0	106	71	199	0	201	16
189	10	79	107	215	0	108	57	186	0	195	14
160	24	202	0	203	0	204	0	213	0	192	0
170	0	205	0	215	0	191	0	90	98	108	108
161	6	100	86	188	0	121	92	193	0	202	11
193	0	193	0	182	0	215	0	100	98	119	63
190	8	80	99	225	0	135	96	218	0	184	12
189	0	222	0	179	0	175	0	101	127	109	77
181	30	208	0	208	0	182	0	210	0	203	0
159	34	195	0	189	0	214	0	180	0	233	0
191	0	193	6	167	0	195	0	210	0	194	0
216	0	193	0	212	0	196	0	98	99	117	80
181	21	187	0	196	0	186	0	213	0	205	0
192	33	219	0	232	0	213	0	203	0	183	0
232	0	205	0	180	20	209	0	214	0	191	0
209	0	170	0	191	0	201	0	105	100	232	0
196	0	195	0	191	0	107	80	184	0	182	0
184	0	208	0	169	13	207	0	211	0	174	0
215	0	214	0	177	0	196	0	94	98	218	0
202	0	214	0	193	15	208	0	214	0	206	0
208	0	208	0	192	0	193	0	182	46	200	0
161	29	187	0	194	0	188	0	212	0	219	0
202	0	214	0	208	0	208	0	135	55	192	0
199	0	184	0	195	0	214	0	185	15	219	0
188	0	218	0	216	0	201	0	207	23	204	0
201	0	205	0	221	0	208	0	156	25	210	0
